,wl,nr,Kab,Kca,Ks,Kw,Kdm,phiI,phiII,KcaV,KcaZ,Kant,KcaV2,phi,nw,cbc,prot,GSV_dim0,GSV_dim1,GSV_dim2
31,431,1.5,0.0730907,0.167744,0.496,9.3e-05,19.0,0.0,0.0,0.167744,0.167744,0.0439124,0.167744,0.0,1.34,22.1691,0.0,0.942594,0.501218,0.524594
32,432,1.4998,0.0736521,0.167905,0.495,9.4e-05,17.9,0.0,0.0,0.167905,0.167905,0.0439588,0.167905,0.0,1.34,20.8164,0.0,0.9442680000000001,0.502576,0.521158
33,433,1.4995,0.074047,0.167971,0.494,9.55e-05,16.8,0.0,0.0,0.167971,0.167971,0.0440366,0.167971,0.0,1.34,19.5452,0.0,0.9459419999999998,0.503934,0.517722
34,434,1.4993,0.0743349,0.167937,0.492,9.7e-05,15.8,0.0,0.0,0.167937,0.167937,0.0441105,0.167937,0.0,1.34,18.3674,0.0,0.947616,0.5052920000000001,0.514286
35,435,1.4991,0.0745425,0.167973,0.491,9.8e-05,14.8,0.0,0.0,0.167973,0.167973,0.0442029,0.167973,0.0,1.34,17.2712,0.0,0.94929,0.50665,0.51085
36,436,1.4988,0.0746911,0.168177,0.49,9.9e-05,13.9,0.0,0.0,0.168177,0.168177,0.0442768,0.168177,0.0,1.34,16.2333,0.0,0.950964,0.508008,0.507414
37,437,1.4986,0.0746534,0.168322,0.489,0.000101,13.1,0.0,0.0,0.168322,0.168322,0.0443989,0.168322,0.0,1.34,15.3003,0.0,0.9526379999999999,0.509366,0.503978
38,438,1.4984,0.0745703,0.168695,0.488,0.000102,12.3,0.0,0.0,0.168695,0.168695,0.0445095,0.168695,0.0,1.34,14.379000000000001,0.0,0.954312,0.510724,0.500542
39,439,1.4981,0.0742853,0.169163,0.486,0.000103,11.6,0.0,0.0,0.169163,0.169163,0.0446471,0.169163,0.0,1.34,13.5394,0.0,0.9559859999999999,0.512082,0.497106
40,440,1.4979,0.0737942,0.169569,0.485,0.000104,11.0,0.0,0.0,0.169569,0.169569,0.0447865,0.169569,0.0,1.34,12.7814,0.0,0.95766,0.51344,0.49367
41,441,1.4977,0.072818,0.169678,0.484,0.000105,10.4,0.0,0.0,0.169678,0.169678,0.0449193,0.169678,0.0,1.34,12.14,0.0,0.9591609999999999,0.51466,0.490903
42,442,1.4974,0.0716223,0.169631,0.483,0.000106,9.92,0.0,0.0,0.169631,0.169631,0.0450615,0.169631,0.0,1.34,11.5732,0.0,0.960662,0.51588,0.488136
43,443,1.4972,0.0704587,0.1699,0.482,0.000107,9.41,0.0,0.0,0.1699,0.1699,0.0452269,0.1699,0.0,1.34,10.9738,0.0,0.9621629999999999,0.5171,0.48536899999999994
44,444,1.4969,0.0691047,0.169905,0.481,0.000108,8.95,0.0,0.0,0.169905,0.169905,0.0454154,0.169905,0.0,1.34,10.4338,0.0,0.9636640000000001,0.51832,0.482602
45,445,1.4967,0.0675675,0.169815,0.479,0.000109,8.51,0.0,0.0,0.169815,0.169815,0.0455895,0.169815,0.0,1.34,9.92188,0.0,0.965165,0.51954,0.479835
46,446,1.4965,0.0660264,0.16977,0.478,0.00011,8.09,0.0,0.0,0.16977,0.16977,0.0457528,0.16977,0.0,1.34,9.43092,0.0,0.966666,0.52076,0.47706800000000005
47,447,1.4962,0.0644919,0.16973,0.477,0.000111,7.64,0.0,0.0,0.16973,0.16973,0.045857,0.16973,0.0,1.34,8.90963,0.0,0.968167,0.52198,0.474301
48,448,1.496,0.0626681,0.169345,0.476,0.000112,7.27,0.0,0.0,0.169345,0.169345,0.045994,0.169345,0.0,1.34,8.475810000000001,0.0,0.969668,0.5232,0.471534
49,449,1.4958,0.0607546,0.168568,0.475,0.000113,6.94,0.0,0.0,0.168568,0.168568,0.0461954,0.168568,0.0,1.34,8.092139999999999,0.0,0.9711690000000001,0.52442,0.46876700000000004
50,450,1.4955,0.0587747,0.167441,0.473,0.000114,6.66,0.0,0.0,0.167441,0.167441,0.0464136,0.167441,0.0,1.34,7.766769999999999,0.0,0.97267,0.52564,0.466
51,451,1.4953,0.0567782,0.166023,0.472,0.000115,6.42,0.0,0.0,0.166023,0.166023,0.0466797,0.166023,0.0,1.34,7.4892199999999995,0.0,0.973898,0.52651,0.46489800000000003
52,452,1.4951,0.0547324,0.164464,0.471,0.000116,6.22,0.0,0.0,0.164464,0.164464,0.046953,0.164464,0.0,1.34,7.25599,0.0,0.975126,0.52738,0.46379600000000004
53,453,1.4949,0.0528441,0.162899,0.47,0.000117,6.01,0.0,0.0,0.162899,0.162899,0.0471624,0.162899,0.0,1.34,7.0087600000000005,0.0,0.9763539999999999,0.52825,0.462694
54,454,1.4947,0.0511254,0.161362,0.468,0.000118,5.78,0.0,0.0,0.161362,0.161362,0.04736,0.161362,0.0,1.34,6.74287,0.0,0.977582,0.52912,0.461592
55,455,1.4945,0.0495729,0.15978,0.467,0.000119,5.57,0.0,0.0,0.15978,0.15978,0.0475935,0.15978,0.0,1.34,6.49913,0.0,0.97881,0.52999,0.46049
56,456,1.4944,0.048139,0.158224,0.466,0.00012,5.37,0.0,0.0,0.158224,0.158224,0.0478138,0.158224,0.0,1.34,6.2624,0.0,0.980038,0.53086,0.459388
57,457,1.4942,0.0468009,0.156555,0.465,0.000121,5.17,0.0,0.0,0.156555,0.156555,0.0480817,0.156555,0.0,1.34,6.03266,0.0,0.981266,0.53173,0.458286
58,458,1.494,0.0456455,0.154969,0.463,0.000122,4.95,0.0,0.0,0.154969,0.154969,0.0483353,0.154969,0.0,1.34,5.76794,0.0,0.982494,0.5326000000000001,0.45718400000000003
59,459,1.4939,0.0446906,0.153299,0.462,0.000123,4.76,0.0,0.0,0.153299,0.153299,0.0485953,0.153299,0.0,1.34,5.55219,0.0,0.983722,0.53347,0.456082
60,460,1.4937,0.0438733,0.151672,0.461,0.000124,4.58,0.0,0.0,0.151672,0.151672,0.0488393,0.151672,0.0,1.34,5.33528,0.0,0.98495,0.53434,0.45498
61,461,1.4935,0.0431621,0.149969,0.46,0.000125,4.42,0.0,0.0,0.149969,0.149969,0.0491231,0.149969,0.0,1.34,5.15336,0.0,0.985599,0.5348900000000001,0.454297
62,462,1.4934,0.0426533,0.148319,0.459,0.000126,4.26,0.0,0.0,0.148319,0.148319,0.0493705,0.148319,0.0,1.34,4.9667699999999995,0.0,0.986248,0.5354400000000001,0.453614
63,463,1.4932,0.0422062,0.146765,0.458,0.000127,4.12,0.0,0.0,0.146765,0.146765,0.0496082,0.146765,0.0,1.34,4.80117,0.0,0.9868969999999999,0.53599,0.452931
64,464,1.4931,0.0417743,0.145076,0.457,0.000128,4.01,0.0,0.0,0.145076,0.145076,0.0498409,0.145076,0.0,1.34,4.67173,0.0,0.987546,0.53654,0.452248
65,465,1.4929,0.0412972,0.143493,0.456,0.000129,3.95,0.0,0.0,0.143493,0.143493,0.050136,0.143493,0.0,1.34,4.60059,0.0,0.9881949999999999,0.5370900000000001,0.451565
66,466,1.4928,0.0409113,0.142004,0.455,0.00013,3.85,0.0,0.0,0.142004,0.142004,0.0504203,0.142004,0.0,1.34,4.4933,0.0,0.988844,0.53764,0.450882
67,467,1.4927,0.0405705,0.14055,0.454,0.000132,3.78,0.0,0.0,0.14055,0.14055,0.0507836,0.14055,0.0,1.34,4.4128300000000005,0.0,0.989493,0.53819,0.450199
68,468,1.4925,0.0403017,0.139191,0.453,0.000133,3.67,0.0,0.0,0.139191,0.139191,0.0511498,0.139191,0.0,1.34,4.28106,0.0,0.9901420000000001,0.53874,0.44951599999999997
69,469,1.4924,0.0400089,0.138023,0.452,0.000134,3.55,0.0,0.0,0.138023,0.138023,0.0515566,0.138023,0.0,1.33,4.14461,0.0,0.990791,0.53929,0.448833
70,470,1.4923,0.0397273,0.137008,0.45,0.000135,3.46,0.0,0.0,0.137008,0.137008,0.0519406,0.137008,0.0,1.33,4.037319999999999,0.0,0.99144,0.53984,0.44815
71,471,1.4921,0.0395205,0.136145,0.449,0.000136,3.36,0.0,0.0,0.136145,0.136145,0.0523872,0.136145,0.0,1.33,3.9218699999999997,0.0,0.991501,0.540234,0.446295
72,472,1.492,0.039292,0.13548,0.448,0.000138,3.28,0.0,0.0,0.13548,0.13548,0.0528197,0.13548,0.0,1.33,3.82741,0.0,0.991562,0.5406280000000001,0.44444
